BST Model Scaled Impulse,,,,,,,,,,,,,,,,,
scaled_distance_Mf5.2,scaled_impulse_Mf5.2,scaled_distance_Mf4.0,scaled_impulse_Mf4.0,scaled_distance_Mf3.0,scaled_impulse_Mf3.0,scaled_distance_Mf2.0,scaled_impulse_Mf2.0,scaled_distance_Mf1.4,scaled_impulse_Mf1.4,scaled_distance_Mf1.0,scaled_impulse_Mf1.0,scaled_distance_Mf0.7,scaled_impulse_Mf0.7,scaled_distance_Mf0.35,scaled_impulse_Mf0.35,scaled_distance_Mf0.2,scaled_impulse_Mf0.2
0.083726769,0.393304305,0.080427753,0.381350235,0.100254529,0.321171212,0.100254529,0.321171212,0.115326559,0.26641849,0.108568795,0.244682874,0.212397368,0.145027719,0.229969037,0.101447112,0.189901769,0.069954491
0.089812286,0.381161128,0.085412237,0.369592803,0.106471372,0.316138658,0.106471372,0.316138658,0.118846505,0.262279354,0.115299261,0.238986745,0.22554537,0.136259719,0.249162886,0.096796243,0.207833206,0.067788549
0.094429424,0.375205487,0.088016174,0.358246323,0.111941147,0.306405584,0.111941147,0.306405584,0.127476008,0.246411513,0.124926679,0.231597642,0.230085727,0.128044902,0.259339287,0.092375255,0.222946696,0.066723335
0.097308266,0.363686698,0.088016174,0.358246323,0.118874643,0.292384708,0.118874643,0.292384708,0.135380871,0.242550397,0.132668969,0.224457241,0.241905968,0.124102738,0.275383814,0.085453649,0.24156261,0.064660353
0.101282566,0.347075984,0.09347727,0.358149412,0.126237591,0.279005417,0.126237591,0.279005417,0.143771056,0.235072311,0.14089585,0.220940135,0.25178598,0.118434576,0.289531163,0.082822757,0.261724089,0.061695982
0.101282566,0.347075984,0.097291813,0.336526975,0.132713844,0.262149293,0.132713844,0.262149293,0.152670894,0.220860448,0.1451913,0.214157284,0.264703128,0.111279346,0.307474763,0.080269244,0.275169694,0.059796526
0.105419185,0.331223933,0.106474972,0.321084331,0.13812952,0.24632264,0.13812952,0.24632264,0.160508659,0.210763554,0.157309365,0.204339189,0.278264131,0.101360235,0.320011114,0.074261429,0.292203482,0.056181383
0.108640417,0.331179129,0.111941147,0.306405584,0.148159172,0.231420176,0.148159172,0.231420176,0.168748796,0.20112825,0.165390851,0.198048125,0.29547948,0.093765392,0.329767198,0.071981607,0.313420521,0.052782422
0.114221623,0.320982999,0.121288165,0.296931995,0.157330647,0.217429112,0.157330647,0.217429112,0.175637926,0.190458109,0.172145805,0.189002645,0.313749279,0.085403571,0.350168884,0.066588082,0.313420521,0.052782422
0.120089554,0.31110078,0.13140232,0.274658343,0.16212714,0.21075405,0.16212714,0.21075405,0.182814485,0.183175493,0.180983366,0.180362167,0.336519388,0.079000787,0.371870487,0.064535101,0.342991992,0.049584626
